C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_51_121.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_51_121.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_51_121.jpg, 0, 0, 0, 0.002193154
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_51_362.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_51_362.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_51_362.jpg, 0, 0, 0, 0.006821199
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_51_461.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_51_461.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_51_461.jpg, 0, 0, 0, 0.007015749
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_51_568.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_51_568.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_51_568.jpg, 0, 0.2940816, 0, 0.2159647
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_51_718.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_51_718.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_51_718.jpg, 0, 0.7496274, 0, 1.003388
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_51_829.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_51_829.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_51_829.jpg, 0, 1, 0, 1.727763
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_51_970.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_51_970.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_51_970.jpg, 0, 1, 0, 2.368231
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_52_073.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_52_073.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_52_073.jpg, 0, 1, 0, 2.82915
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_52_217.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_52_217.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_52_217.jpg, 0, 1, 0, 3.313937
C:\Users\Geral\Desktop\simulador\IMG\center_2019_05_16_18_03_52_334.jpg, C:\Users\Geral\Desktop\simulador\IMG\left_2019_05_16_18_03_52_334.jpg, C:\Users\Geral\Desktop\simulador\IMG\right_2019_05_16_18_03_52_334.jpg, 0, 1, 0, 3.696332
